inicializacao, multiplicacao, finalizacao, total, threads
0.001959, 0.463450, 0.000212, 0.465621, 1
0.000627, 0.455324, 0.001190, 0.457141, 1
0.000427, 0.452762, 0.000235, 0.453425, 1
0.000634, 0.246350, 0.000228, 0.247212, 2
0.000723, 0.246920, 0.000235, 0.247878, 2
0.000723, 0.245708, 0.000243, 0.246674, 2
0.000447, 0.137721, 0.000229, 0.138397, 4
0.000647, 0.129552, 0.000215, 0.130414, 4
0.000497, 0.135309, 0.000214, 0.136021, 4
0.000510, 0.104644, 0.000251, 0.105405, 8
0.000451, 0.107751, 0.000214, 0.108416, 8
0.000649, 0.110337, 0.000222, 0.111208, 8
0.002205, 0.454423, 0.001513, 0.458141, 1
0.000708, 0.455586, 0.000242, 0.456536, 1
0.000660, 0.246088, 0.000268, 0.247017, 2
0.000611, 0.244086, 0.000264, 0.244961, 2
0.000747, 0.132902, 0.000244, 0.133893, 4
0.000541, 0.134241, 0.000221, 0.135003, 4
0.000580, 0.103544, 0.000234, 0.104358, 8
0.000591, 0.113958, 0.000222, 0.114772, 8
