inicializacao, multiplicacao, finalizacao, total, threads
0.005624, 3.483351, 0.001614, 3.490589, seq
0.003766, 3.480884, 0.001312, 3.485963, seq
0.002108, 3.501307, 0.001358, 3.504773, seq
0.002064, 3.507335, 0.000916, 3.510315, seq
0.002095, 3.466902, 0.001168, 3.470166, seq
0.005723, 3.519441, 0.000894, 3.526058, 1
0.002086, 3.515594, 0.001264, 3.518944, 1
0.002190, 3.551591, 0.000933, 3.554714, 1
0.001938, 3.555950, 0.001530, 3.559418, 1
0.002056, 3.556259, 0.001183, 3.559498, 1
0.002009, 1.840374, 0.001559, 1.843943, 2
0.002129, 1.841255, 0.000898, 1.844282, 2
0.002041, 1.876243, 0.000793, 1.879077, 2
0.002106, 1.838323, 0.000651, 1.841081, 2
0.001927, 1.840269, 0.000937, 1.843133, 2
0.002292, 0.984691, 0.000664, 0.987647, 4
0.002116, 0.978958, 0.001130, 0.982204, 4
0.002189, 0.976746, 0.001340, 0.980275, 4
0.001089, 0.968883, 0.000701, 0.970673, 4
0.002000, 0.983530, 0.000673, 0.986203, 4
0.001999, 0.761660, 0.001340, 0.764999, 8
0.002168, 0.766118, 0.001382, 0.769668, 8
0.002156, 0.785634, 0.001299, 0.789090, 8
0.002129, 0.775413, 0.000783, 0.778325, 8
0.002233, 0.775086, 0.001244, 0.778564, 8
